ID,Semente,Germinação (%),Vigor (%),Pureza (%),Viabilidade (%),Umidade (%),Qualidade Geral (%)
237,Soja,94,79,91,95,10,82.10000000000001
238,Soja,82,84,86,77,11,75.60000000000001
239,Soja,68,75,84,69,15,67.4
240,Soja,63,61,100,97,15,68.60000000000001
241,Soja,100,75,77,73,10,78.7
242,Soja,80,95,90,78,15,78.3
243,Soja,91,79,71,65,11,74.0
244,Soja,84,94,80,87,11,78.2
245,Soja,85,70,80,87,12,73.9
246,Soja,90,70,86,66,15,75.3
247,Soja,72,69,70,95,12,67.3
248,Soja,94,89,100,89,12,85.50000000000001
249,Soja,89,91,92,87,12,82.10000000000001
250,Soja,85,68,70,94,13,72.3
251,Soja,96,89,98,65,12,83.50000000000001
252,Soja,97,86,93,94,12,85.2
253,Soja,72,71,80,74,14,67.80000000000001
254,Soja,70,88,96,88,11,74.7
255,Soja,65,61,98,71,11,66.0
256,Soja,85,63,97,81,13,75.39999999999999
257,Soja,81,79,90,81,11,75.39999999999999
258,Soja,98,98,83,67,12,83.30000000000001
259,Soja,79,81,93,93,13,77.0
260,Soja,71,90,85,92,10,73.60000000000001
261,Soja,75,83,81,85,12,72.5
262,Soja,84,83,70,81,12,73.5
263,Soja,68,65,80,89,13,66.4
264,Soja,95,83,83,62,10,78.4
265,Soja,76,91,96,90,13,78.10000000000001
266,Soja,86,63,94,83,10,75.1
267,Soja,77,60,90,67,12,68.7
268,Soja,64,100,92,69,14,72.30000000000001
269,Soja,94,83,71,87,11,78.2
270,Soja,65,69,98,99,13,70.6
271,Soja,70,79,74,67,10,66.3
272,Soja,88,80,70,65,10,72.7
273,Soja,86,68,88,64,11,73.1
274,Soja,92,86,87,82,11,80.7
275,Soja,93,61,91,90,12,77.80000000000001
276,Soja,84,91,83,69,14,76.70000000000002
277,Soja,78,95,81,78,13,75.5
278,Soja,98,75,77,82,14,79.20000000000002
279,Soja,63,75,87,82,13,67.10000000000001
280,Soja,74,74,98,92,15,74.7
281,Soja,87,67,83,75,12,73.50000000000001
282,Soja,65,76,84,78,10,66.8
283,Soja,63,69,82,91,10,65.5
284,Soja,66,74,87,63,12,66.10000000000001
285,Soja,82,94,83,63,11,75.60000000000001
286,Soja,88,100,97,90,11,84.7
287,Soja,90,73,82,80,13,76.3
288,Soja,89,65,91,67,13,74.8
289,Soja,62,89,87,63,12,67.5
290,Soja,95,62,83,76,10,75.6
291,Soja,70,60,86,80,13,66.5
292,Soja,95,100,70,89,14,82.30000000000001
293,Soja,84,71,83,76,10,73.0
294,Soja,100,81,91,70,13,82.7
295,Soja,78,82,94,78,14,75.60000000000001
296,Soja,73,93,77,78,14,72.4
297,Soja,87,64,97,91,15,77.60000000000001
298,Soja,76,61,75,77,11,66.39999999999999
299,Soja,64,61,91,63,14,63.699999999999996
300,Soja,94,73,92,60,13,77.9
301,Soja,74,65,81,90,15,69.3
302,Soja,90,93,96,85,15,83.80000000000001
303,Soja,71,91,78,70,14,70.60000000000001
304,Soja,88,67,99,91,13,78.8
305,Soja,62,73,95,67,13,66.4
306,Soja,99,80,78,91,14,81.7
307,Soja,89,92,87,74,14,80.20000000000002
308,Soja,83,99,91,92,12,81.60000000000001
309,Soja,70,79,82,68,14,68.4
310,Soja,93,81,86,60,15,78.10000000000001
311,Soja,74,75,79,94,14,71.20000000000002
312,Soja,95,68,72,94,11,76.5
313,Soja,93,87,95,88,13,83.7
314,Soja,62,86,81,60,14,65.60000000000001
315,Soja,76,79,74,91,12,71.3
316,Soja,67,91,89,67,15,71.0
317,Soja,80,60,82,93,14,71.10000000000001
318,Soja,76,77,82,87,13,72.2
319,Soja,64,79,87,74,15,67.70000000000002
320,Soja,91,87,74,79,10,77.5
321,Soja,66,70,97,64,12,67.40000000000002
322,Soja,81,65,99,81,11,74.39999999999999
323,Soja,71,74,78,87,10,68.5
324,Soja,77,79,76,65,13,69.60000000000001
325,Soja,79,81,75,72,15,71.5
326,Soja,98,66,80,98,12,79.4
327,Soja,66,78,76,98,11,68.1
328,Soja,83,66,90,94,15,75.30000000000001
329,Soja,97,60,74,60,11,72.7
330,Soja,86,71,76,94,12,74.4
331,Soja,73,60,74,89,13,66.2
332,Soja,80,65,87,71,11,70.6
333,Soja,75,97,77,84,14,74.60000000000002
334,Soja,89,100,70,93,12,80.1
335,Soja,85,60,91,61,12,71.5
336,Soja,90,73,89,98,11,79.3
337,Soja,70,82,95,67,12,71.30000000000001
338,Soja,91,65,75,77,12,73.30000000000001
339,Soja,74,69,81,79,13,68.80000000000001
340,Soja,100,89,81,63,10,81.3
341,Soja,71,98,86,85,10,74.7
342,Soja,100,70,93,93,12,83.1
343,Soja,81,87,93,83,13,78.0
344,Soja,69,60,74,71,11,62.60000000000001
345,Soja,91,84,77,94,14,79.40000000000002
346,Soja,69,67,92,83,10,68.7
347,Soja,99,93,97,78,10,86.4
348,Soja,70,64,96,97,10,70.7
349,Soja,91,79,76,87,12,77.30000000000001
350,Soja,81,90,72,90,13,75.1
351,Soja,100,94,99,91,12,88.89999999999999
352,Soja,67,100,97,69,11,74.2
353,Soja,79,72,89,73,13,72.39999999999999
354,Soja,84,94,94,75,10,79.7
355,Soja,94,63,80,80,15,75.7
356,Soja,81,70,89,82,15,73.9
357,Soja,83,68,95,88,10,75.60000000000001
358,Soja,97,70,71,66,11,74.69999999999999
359,Soja,73,69,95,73,10,70.3
360,Soja,94,91,84,99,14,83.9
361,Soja,100,97,97,74,15,87.70000000000002
362,Soja,65,88,95,88,15,72.9
363,Soja,70,76,82,70,15,68.10000000000001
364,Soja,84,62,92,62,10,71.60000000000001
365,Soja,84,83,76,71,12,73.7
366,Soja,99,81,81,83,10,81.3
367,Soja,63,65,88,99,15,67.2
368,Soja,95,92,98,80,12,85.2
369,Soja,91,94,73,96,13,80.7
370,Soja,73,77,92,68,12,71.0
371,Soja,96,63,96,79,15,79.60000000000002
372,Soja,89,62,78,67,15,71.8
373,Soja,76,92,77,61,10,71.3
374,Soja,62,62,96,69,15,64.80000000000001
375,Soja,66,89,73,91,11,69.0
376,Soja,83,75,89,81,11,75.19999999999999
377,Soja,64,92,97,89,14,73.70000000000002
378,Soja,79,85,98,84,13,77.9
379,Soja,99,62,71,73,11,74.6
380,Soja,64,69,97,93,12,69.30000000000001
381,Soja,72,70,78,66,15,66.5
382,Soja,66,68,74,87,11,64.6
383,Soja,88,73,84,67,10,74.30000000000001
384,Soja,95,85,78,72,15,79.3
385,Soja,72,60,96,72,14,68.60000000000001
386,Soja,100,96,84,99,11,87.0
387,Soja,88,95,72,81,11,77.8
388,Soja,66,61,85,70,14,64.0
389,Soja,76,78,75,61,13,68.39999999999999
390,Soja,85,66,70,89,15,71.60000000000001
391,Soja,77,93,74,90,12,74.4
392,Soja,94,63,100,80,14,79.60000000000001
393,Soja,62,83,98,89,12,71.10000000000001
394,Soja,93,76,72,71,14,75.30000000000001
395,Soja,82,99,95,66,14,79.60000000000001
396,Soja,73,71,87,91,10,70.9
397,Soja,74,82,88,97,11,74.39999999999999
398,Soja,70,96,84,90,10,74.0
399,Soja,97,69,77,83,12,77.50000000000001
400,Soja,72,62,79,89,15,67.4
401,Soja,73,94,85,98,13,76.1
402,Soja,94,81,87,89,12,81.30000000000001
403,Soja,70,63,79,61,14,63.900000000000006
404,Soja,76,78,73,76,14,69.60000000000001
405,Soja,73,71,74,61,12,65.5
406,Soja,71,68,83,96,10,69.2
407,Soja,77,73,87,85,11,72.4
408,Soja,67,74,84,75,14,67.30000000000001
409,Soja,67,97,79,81,14,71.5
410,Soja,85,70,91,88,10,76.0
411,Soja,94,68,77,100,12,77.80000000000001
412,Soja,70,99,83,97,15,75.60000000000001
413,Soja,89,62,93,87,14,76.7
414,Soja,100,98,80,98,12,86.6
415,Soja,91,92,77,64,11,77.7
416,Soja,86,97,74,92,13,79.1
417,Soja,83,81,96,78,12,77.60000000000001
418,Soja,80,62,78,79,13,69.2
419,Soja,80,88,88,91,14,77.7
420,Soja,97,83,94,96,10,84.80000000000001
421,Soja,99,72,80,69,11,78.0
422,Soja,76,90,86,100,12,76.80000000000001
423,Soja,62,60,73,82,11,60.7
424,Soja,77,90,79,67,14,72.7
425,Soja,70,86,97,92,14,75.20000000000002
426,Soja,71,77,86,100,12,72.2
427,Soja,91,76,100,76,11,80.29999999999998
428,Soja,100,75,93,85,15,83.6
429,Soja,65,99,74,94,13,71.3
430,Soja,80,73,71,72,12,69.2
431,Soja,80,80,79,97,15,75.0
432,Soja,98,63,73,95,10,76.9
433,Soja,92,88,79,96,14,81.20000000000002
434,Soja,89,75,89,89,10,78.30000000000001
435,Soja,91,84,93,81,10,80.9
436,Soja,70,83,82,71,13,69.39999999999999
437,Soja,81,82,84,60,12,72.8
438,Soja,88,71,72,75,14,72.70000000000002
439,Soja,84,66,96,74,15,74.9
440,Soja,89,80,94,64,12,78.00000000000001
441,Soja,95,75,94,60,11,78.89999999999999
442,Soja,87,63,92,87,14,75.90000000000002
443,Soja,72,96,98,96,13,78.49999999999999
444,Soja,67,66,82,78,14,65.60000000000001
445,Soja,95,79,81,90,13,80.3
446,Soja,97,68,79,84,10,77.60000000000001
447,Soja,96,69,83,95,15,79.80000000000001
448,Soja,86,82,97,60,14,77.60000000000001
449,Soja,93,71,96,81,10,79.7
450,Soja,87,82,84,90,11,78.1
451,Soja,85,61,88,62,11,71.1
452,Soja,77,77,79,81,14,71.5
453,Soja,68,89,96,76,14,73.2
454,Soja,95,71,93,71,12,79.10000000000001
455,Soja,80,99,92,60,11,77.3
456,Soja,64,72,95,98,11,69.89999999999999
457,Soja,69,61,84,68,15,64.9
458,Soja,86,87,85,67,13,76.8
459,Soja,99,87,93,88,14,85.8
460,Soja,96,78,100,78,10,82.8
461,Soja,63,67,93,94,14,68.00000000000001
462,Soja,81,82,86,89,12,76.10000000000001
463,Soja,73,66,92,83,10,70.10000000000001
464,Soja,99,98,93,65,12,85.50000000000001
465,Soja,94,85,83,100,13,82.5
466,Soja,75,77,95,79,13,73.60000000000001
467,Soja,92,78,91,61,14,78.10000000000001
468,Soja,81,82,92,61,15,74.8
469,Soja,91,76,86,72,11,77.1
470,Soja,80,69,81,62,13,69.5
471,Soja,63,77,76,61,11,63.00000000000001
472,Soja,99,95,73,70,14,81.60000000000001
473,Soja,60,75,94,64,11,65.3
474,Soja,81,79,98,77,10,76.50000000000001
475,Soja,76,64,90,87,10,70.9
476,Soja,71,72,86,78,14,69.2
477,Soja,88,95,78,93,14,80.50000000000001
478,Soja,64,61,74,97,13,63.60000000000001
479,Soja,68,67,88,86,14,68.2
480,Soja,98,73,71,99,15,79.4
481,Soja,80,76,76,85,10,71.9
482,Soja,83,60,73,98,12,70.80000000000001
483,Soja,78,73,78,81,11,70.6
484,Soja,79,66,85,90,15,72.30000000000001
485,Soja,60,99,81,93,11,70.39999999999999
486,Soja,100,92,94,96,13,88.10000000000001
487,Soja,85,87,76,88,11,76.5
488,Soja,97,62,74,95,10,76.5
489,Soja,63,92,75,74,14,67.40000000000002
490,Soja,94,99,81,73,11,82.0
491,Soja,93,70,89,93,13,79.6
492,Soja,74,80,90,97,10,74.3
493,Soja,65,85,75,86,14,68.0
494,Soja,95,83,81,99,13,82.0
495,Soja,91,77,92,97,12,81.10000000000001
496,Soja,90,70,98,68,12,77.6
497,Soja,82,81,95,61,13,75.39999999999999
498,Soja,60,91,72,84,12,66.2
499,Soja,99,71,74,78,10,77.4
500,Soja,99,87,77,84,11,81.9
501,Soja,97,95,76,69,13,81.2
502,Soja,77,71,84,69,15,70.2
503,Soja,91,95,99,68,13,83.3
504,Soja,87,67,96,93,13,78.0
505,Soja,68,83,74,93,13,69.2
506,Soja,88,64,89,88,15,76.1
507,Soja,88,100,81,89,11,81.4
508,Soja,91,92,86,88,15,82.3
509,Soja,72,88,91,79,15,74.00000000000001
510,Soja,94,64,73,93,14,75.7
511,Soja,95,83,75,95,10,80.1
512,Soja,68,79,74,82,13,67.3
513,Soja,90,71,95,99,10,80.10000000000001
514,Soja,62,60,92,90,12,65.4
515,Soja,69,65,90,64,14,66.4
516,Soja,65,100,97,66,15,73.5
517,Soja,84,62,94,76,12,73.6
518,Soja,93,100,94,68,11,83.89999999999999
519,Soja,87,80,74,75,14,74.50000000000001
520,Soja,86,72,76,83,10,73.3
521,Soja,87,64,84,60,14,71.80000000000001
522,Soja,85,81,91,97,14,79.50000000000001
523,Soja,94,81,83,78,11,79.3
524,Soja,80,66,75,65,11,67.8
525,Soja,97,60,74,93,13,76.2
526,Soja,95,91,85,97,10,83.9
527,Soja,73,84,100,88,12,76.0
528,Soja,74,90,81,70,10,71.8
529,Soja,73,74,82,62,12,67.80000000000001
530,Soja,95,86,92,72,15,82.30000000000001
531,Soja,83,81,98,90,13,79.3
532,Soja,61,60,73,66,11,58.70000000000001
533,Soja,91,70,77,78,14,75.0
534,Soja,70,89,100,82,14,75.4
535,Soja,75,68,83,65,12,67.9
536,Soja,94,95,82,93,13,83.6
537,Soja,100,76,99,82,15,84.7
538,Soja,67,71,98,85,14,70.5
539,Soja,60,81,93,72,10,67.0
540,Soja,78,100,74,72,13,74.5
541,Soja,88,90,87,89,12,80.70000000000002
542,Soja,75,83,86,100,13,75.1
543,Soja,67,98,73,79,10,69.9
544,Soja,91,81,73,61,13,74.59999999999998
545,Soja,64,80,82,76,10,66.6
546,Soja,92,99,79,92,11,82.7
547,Soja,91,63,100,71,13,77.39999999999999
548,Soja,60,87,98,93,12,71.50000000000001
549,Soja,87,92,91,60,14,78.80000000000001
550,Soja,94,88,73,63,15,77.60000000000001
551,Soja,90,82,71,94,15,77.50000000000001
552,Soja,77,75,74,61,10,67.69999999999999
553,Soja,66,80,95,100,13,72.7
554,Soja,67,93,93,96,14,75.0
555,Soja,70,81,82,95,15,71.60000000000001
556,Soja,80,87,80,73,10,73.7
557,Soja,79,65,88,86,11,71.89999999999999
558,Soja,82,93,100,98,15,82.7
559,Soja,96,95,77,80,12,82.00000000000001
560,Soja,61,97,88,98,13,72.5
561,Soja,88,94,78,79,12,78.7
562,Soja,73,100,97,69,15,77.00000000000001
563,Soja,72,86,97,66,11,73.1
564,Soja,66,68,71,75,11,62.800000000000004
565,Soja,95,98,90,66,14,83.6
566,Soja,85,69,93,63,13,74.0
567,Soja,77,88,74,99,10,74.10000000000001
568,Soja,78,95,79,64,14,73.80000000000001
569,Soja,68,91,87,94,13,73.50000000000001
570,Soja,89,98,77,75,14,79.50000000000001
571,Soja,91,80,78,78,13,77.1
572,Soja,61,87,73,98,13,67.5
573,Soja,67,76,82,72,12,66.80000000000001
574,Soja,93,78,98,68,12,80.4
575,Soja,76,98,92,96,15,79.5
576,Soja,73,76,84,70,10,69.2
577,Soja,78,77,77,61,10,69.1
578,Soja,83,89,74,74,14,74.60000000000001
579,Soja,73,82,77,96,15,72.10000000000001
580,Soja,83,83,72,60,12,71.4
581,Soja,91,83,87,86,12,80.2
582,Soja,68,74,93,93,11,71.0
583,Soja,93,63,98,90,12,79.60000000000001
584,Soja,60,99,70,83,12,67.3
585,Soja,84,85,97,76,11,78.69999999999999
586,Soja,100,84,91,83,14,84.7
587,Soja,60,66,82,87,13,63.60000000000001
588,Soja,79,96,88,61,10,75.5
589,Soja,68,67,99,70,12,68.60000000000001
590,Soja,71,60,93,82,12,68.4
591,Soja,60,71,70,82,10,61.400000000000006
592,Soja,68,60,100,75,15,68.2
593,Soja,73,80,86,67,14,70.50000000000001
594,Soja,68,75,94,80,11,70.1
595,Soja,88,83,72,88,11,76.1
596,Soja,63,69,83,75,15,64.6
597,Soja,87,87,71,64,10,73.80000000000001
598,Soja,100,87,74,69,13,80.4
599,Soja,64,82,88,83,15,69.4
600,Soja,73,76,79,68,10,68.0
601,Soja,98,80,94,91,10,84.1
602,Soja,68,94,77,87,12,71.3
603,Soja,82,82,96,62,15,76.10000000000001
604,Soja,88,92,82,62,12,77.40000000000002
605,Soja,60,90,72,71,10,64.5
606,Soja,86,99,79,82,14,79.60000000000001
607,Soja,83,90,75,65,12,73.9
608,Soja,95,69,100,90,13,82.1
609,Soja,93,92,95,94,10,85.00000000000001
610,Soja,99,65,72,79,14,76.30000000000001
611,Soja,84,87,82,83,11,76.8
612,Soja,61,99,88,90,10,71.80000000000001
613,Soja,69,93,70,72,10,68.4
614,Soja,74,91,81,98,12,75.0
615,Soja,94,90,77,72,13,79.5
616,Soja,100,65,81,87,12,79.10000000000001
617,Soja,65,97,89,95,12,73.9
618,Soja,80,67,91,71,14,72.1
619,Soja,68,99,89,90,10,74.8
620,Soja,97,67,88,83,10,79.10000000000001
621,Soja,79,74,73,63,11,68.4
622,Soja,95,91,86,60,10,80.4
623,Soja,96,85,92,76,10,82.4
624,Soja,84,77,86,96,13,77.10000000000001
625,Soja,60,77,81,82,13,65.1
626,Soja,96,78,93,70,14,81.00000000000001
627,Soja,74,82,73,70,11,68.69999999999999
628,Soja,80,61,79,75,14,68.9
629,Soja,66,66,76,94,15,65.7
630,Soja,71,62,71,91,15,65.60000000000001
631,Soja,60,77,89,72,12,65.60000000000001
632,Soja,89,100,85,61,15,80.19999999999999
633,Soja,93,82,99,66,13,81.3
634,Soja,79,70,79,71,13,69.8
635,Soja,82,99,97,65,15,80.00000000000001
636,Soja,80,76,78,93,15,73.60000000000001
637,Soja,74,96,92,96,11,77.9
638,Soja,73,86,71,94,15,71.50000000000001
639,Soja,64,62,85,71,15,63.6
640,Soja,67,84,93,100,10,73.2
641,Soja,63,86,93,91,14,71.50000000000001
642,Soja,95,60,96,82,14,78.80000000000001
643,Soja,97,90,84,74,15,82.50000000000001
644,Soja,92,87,84,63,11,78.39999999999999
645,Soja,97,73,92,67,14,79.90000000000002
